Name,Address
3공단,경북 포항시 남구 대송면 철강산단로130번길 29 3공단 배수지
강진읍,전라남도 강진군 강진읍 동성로 72 강진읍 측정소
고덕동,경기도 평택시 고덕면 고덕국제2로 111 종덕초등학교 2층 옥상
과천동,경기 과천시 상하벌로 17 과천시 환경사업소
광명동(폐쇄),경기 광명시 광명3동 광명3동 주민센터
금천구,서울 금천구 금하로21길 20 시흥5동 주민센터
녹산동,부산 강서구 녹산산단 382로 49번길 39 부산환경공단 녹산사업소
독곶리,충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터 저수동 옥상
복정동,경기 성남시 수정구 성남대로 1416번길 22 복정정수장
송정1동(폐쇄),광주 광산구 광산로 70 송정1동 주민센터
용지동,경남 창원시 의창구 용지로 239번길 19-4 (용지동 주민센터)
용호동,부산광역시 남구 이기대공원로 11 부산환경공단 남부사업소 북쪽 (용호동)
월내동,전남 여수시 여수산단로 1201(월내동) 여수산단 월내 폐수종말처리장
유촌동,광주광역시 서구 천변우하로 203 광주보건환경연구원 신청사 옥상 (유촌동)
인제읍,강원특별자치도 인제군 인제읍 비봉로44번길 93 인제군기상관측소
장유동,경남 김해시 장유동 능동로 149 (장유건강지원센터)
장호원읍,경기 이천시 장호원읍 오남리 27 재래시장 공영주차장
장흥동,경북 포항시 남구 철강로 331 공단정수장 공단정수장
재송동,부산광역시 해운대구 센텀동로 191 동부하수처리장 (재송동)
중방동,경북 경산시 중방동 708-5 남매로 158 경산시보건소 정신보건센터 2층
중앙로,강원특별자치도 춘천시 중앙로길 135(중앙로 3가 67-1) 춘천시보건소 3층 옥상
진천읍,충북 진천군 진천읍 상산로 65 읍내리 370-1 진천읍사무소 옥상
청라,인천 서구 크리스탈로 131 수질정화시설관리동 2층 옥상
태안읍,충남 태안군 태안읍 군청6길 태안군장애인복지관
태전동,대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56) 태암초등학교 남관 4층 옥상
하대원동(폐쇄),경기 성남시 중원구 하대원동 하대원동 주민센터 옥상
회원동,경남 창원시 마산회원구 회원동 11번길 7 (회원1동 주민센터)